risk_id;cve_id;description;cvss_score;ports;protocols;ip_ranges;source;last_updated
R119;;Reported abusive IP;10.0;;;47.251.47.128;AbuseIPDB;03/03/2025
R120;;Reported abusive IP;10.0;;;45.156.131.9;AbuseIPDB;03/03/2025
R121;;Reported abusive IP;10.0;;;92.255.85.107;AbuseIPDB;03/03/2025
R122;;Reported abusive IP;10.0;;;193.163.125.240;AbuseIPDB;03/03/2025
R123;;Reported abusive IP;10.0;;;216.218.206.118;AbuseIPDB;03/03/2025
R124;;Reported abusive IP;10.0;;;47.251.92.171;AbuseIPDB;03/03/2025
R125;;Reported abusive IP;10.0;;;206.189.120.50;AbuseIPDB;03/03/2025
R126;;Reported abusive IP;10.0;;;59.127.84.223;AbuseIPDB;03/03/2025
R127;;Reported abusive IP;10.0;;;165.23.244.219;AbuseIPDB;03/03/2025
R128;;Reported abusive IP;10.0;;;64.62.197.11;AbuseIPDB;03/03/2025
R129;;Reported abusive IP;10.0;;;45.79.104.47;AbuseIPDB;03/03/2025
R130;;Reported abusive IP;10.0;;;125.229.44.63;AbuseIPDB;03/03/2025
R131;;Reported abusive IP;10.0;;;152.42.243.146;AbuseIPDB;03/03/2025
R132;;Reported abusive IP;10.0;;;220.133.58.167;AbuseIPDB;03/03/2025
R133;;Reported abusive IP;10.0;;;47.237.115.229;AbuseIPDB;03/03/2025
R134;;Reported abusive IP;10.0;;;36.93.51.242;AbuseIPDB;03/03/2025
R135;;Reported abusive IP;10.0;;;124.218.231.111;AbuseIPDB;03/03/2025
R136;;Reported abusive IP;10.0;;;64.62.156.103;AbuseIPDB;03/03/2025
R137;;Reported abusive IP;10.0;;;170.80.0.224;AbuseIPDB;03/03/2025
R138;;Reported abusive IP;10.0;;;211.55.141.210;AbuseIPDB;03/03/2025
R139;;Reported abusive IP;10.0;;;64.62.156.115;AbuseIPDB;03/03/2025
R140;;Reported abusive IP;10.0;;;193.163.125.189;AbuseIPDB;03/03/2025
R141;;Reported abusive IP;10.0;;;117.72.64.87;AbuseIPDB;03/03/2025
R142;;Reported abusive IP;10.0;;;51.178.236.248;AbuseIPDB;03/03/2025
R143;;Reported abusive IP;10.0;;;14.103.113.212;AbuseIPDB;03/03/2025
R144;;Reported abusive IP;10.0;;;157.230.89.202;AbuseIPDB;03/03/2025
R145;;Reported abusive IP;10.0;;;193.163.125.43;AbuseIPDB;03/03/2025
R146;;Reported abusive IP;10.0;;;48.216.197.50;AbuseIPDB;03/03/2025
R147;;Reported abusive IP;10.0;;;45.79.195.5;AbuseIPDB;03/03/2025
R148;;Reported abusive IP;10.0;;;220.132.197.23;AbuseIPDB;03/03/2025
R149;;Reported abusive IP;10.0;;;173.255.223.149;AbuseIPDB;03/03/2025
R150;;Reported abusive IP;10.0;;;193.163.125.143;AbuseIPDB;03/03/2025
R151;;Reported abusive IP;10.0;;;64.62.156.90;AbuseIPDB;03/03/2025
R152;;Reported abusive IP;10.0;;;46.101.1.225;AbuseIPDB;03/03/2025
R153;;Reported abusive IP;10.0;;;35.198.197.145;AbuseIPDB;03/03/2025
R154;;Reported abusive IP;10.0;;;64.62.156.98;AbuseIPDB;03/03/2025
R155;;Reported abusive IP;10.0;;;47.250.81.7;AbuseIPDB;03/03/2025
R156;;Reported abusive IP;10.0;;;47.121.182.178;AbuseIPDB;03/03/2025
R157;;Reported abusive IP;10.0;;;213.32.32.88;AbuseIPDB;03/03/2025
R158;;Reported abusive IP;10.0;;;193.163.125.59;AbuseIPDB;03/03/2025
R159;;Reported abusive IP;10.0;;;193.163.125.215;AbuseIPDB;03/03/2025
R160;;Reported abusive IP;10.0;;;47.237.115.135;AbuseIPDB;03/03/2025
R161;;Reported abusive IP;10.0;;;193.163.125.35;AbuseIPDB;03/03/2025
R162;;Reported abusive IP;10.0;;;211.22.25.206;AbuseIPDB;03/03/2025
R163;;Reported abusive IP;10.0;;;74.82.47.44;AbuseIPDB;03/03/2025
R164;;Reported abusive IP;10.0;;;125.224.153.157;AbuseIPDB;03/03/2025
R165;;Reported abusive IP;10.0;;;165.232.73.237;AbuseIPDB;03/03/2025
R166;;Reported abusive IP;10.0;;;193.163.125.226;AbuseIPDB;03/03/2025
R167;;Reported abusive IP;10.0;;;8.222.183.247;AbuseIPDB;03/03/2025
R168;;Reported abusive IP;10.0;;;196.251.87.42;AbuseIPDB;03/03/2025
R169;;Reported abusive IP;10.0;;;24.115.47.199;AbuseIPDB;03/03/2025
R170;;Reported abusive IP;10.0;;;149.202.132.200;AbuseIPDB;03/03/2025
R171;;Reported abusive IP;10.0;;;210.223.212.116;AbuseIPDB;03/03/2025
R172;;Reported abusive IP;10.0;;;143.110.182.33;AbuseIPDB;03/03/2025
R173;;Reported abusive IP;10.0;;;193.163.125.68;AbuseIPDB;03/03/2025
R174;;Reported abusive IP;10.0;;;193.163.125.67;AbuseIPDB;03/03/2025
R175;;Reported abusive IP;10.0;;;42.98.150.171;AbuseIPDB;03/03/2025
R176;;Reported abusive IP;10.0;;;96.126.112.95;AbuseIPDB;03/03/2025
R177;;Reported abusive IP;10.0;;;47.74.48.165;AbuseIPDB;03/03/2025
R178;;Reported abusive IP;10.0;;;118.34.8.142;AbuseIPDB;03/03/2025
R179;;Reported abusive IP;10.0;;;8.219.164.91;AbuseIPDB;03/03/2025
R180;;Reported abusive IP;10.0;;;20.171.31.34;AbuseIPDB;03/03/2025
